seed,metric,b0,b1,difference_b1_minus_b0
7,net_max_drawdown,-0.12889989850129113,-0.08681404187171571,0.042085856629575424
7,gross_max_drawdown,-0.1286129567408727,-0.07933084844217131,0.04928210829870139
7,gross_total_return,0.6854476181081564,0.7321028305154983,0.04665521240734194
7,net_total_return,0.5399741507901512,0.8604638992312537,0.32048974844110245
7,gross_cagr,0.0783803362103015,0.08831553699538408,0.009935200785082587
7,net_cagr,0.055481951154584985,0.080693790072625,0.02521183891804002
7,holding_duration_rebalances,7.4026574234546505,4.828969359331476,-2.573688064123174
7,holding_duration_sessions,37.01328711727325,101.408356545961,64.39506942868775
7,names_changed_per_rebalance,12.917910447761194,18.894736842105264,5.976826394344069
7,long_leg_retention,0.8721034875958874,0.824430982140166,-0.04767250545572144
7,short_leg_retention,0.8641124923282674,0.7961365681283955,-0.06797592419987186
7,names_replaced_both_legs_fraction,0.13189201003792272,0.1897162248657192,0.05782421482779648
7,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
7,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
7,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
7,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
7,signal_age_median_sessions,5.0,7.0,2.0
7,signal_age_p95_sessions,5.0,9.0,4.0
7,signal_age_max_sessions,1935.0,644.0,-1291.0
7,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
7,net_sharpe_1bp,0.5233418107685968,0.7479676621304301,0.22462585136183333
7,cost_share_of_gross_1bp,0.10609329437595133,0.031158005707192196,-0.07493528866875913
7,net_sharpe_3bp,0.5045339354648887,0.7400341446739886,0.23550020920909998
7,cost_share_of_gross_3bp,0.13819125314992653,0.04139845405952387,-0.09679279909040266
7,net_sharpe_5bp,0.48572628754617186,0.732100953892993,0.24637466634682115
7,cost_share_of_gross_5bp,0.17028921192390176,0.051638902411855564,-0.11865030951204619
7,cost_share_of_gross_10bp,0.2505341088588398,0.07724002329268478,-0.17329408556615503
7,net_sharpe_20bp,0.34468747699466523,0.6726133086692994,0.3279258316746341
7,cost_share_of_gross_20bp,0.41102390272871575,0.1284422650543432,-0.28258163767437255
8,rebalances,403.0,96.0,-307.0
8,scheduled_rebalances,403.0,96.0,-307.0
8,gross_sharpe,0.4903733175843129,0.6569400711112902,0.16656675352697725
8,net_sharpe_10bp,0.3229951948440353,0.5945038812636393,0.27150868641960396
8,annualised_turnover,6.887727756114852,2.3326020408163264,-4.5551257152985265
8,cost_share_of_gross,0.3409990145432264,0.09479834711616576,-0.24620066742706065
8,net_max_drawdown,-0.1753335661906108,-0.13663593655684458,0.03869762963376622
8,gross_max_drawdown,-0.16391120183102015,-0.13247277808296343,0.03143842374805672
8,gross_total_return,0.5035215008706827,0.5935059225292258,0.08998442165854315
8,net_total_return,0.3072775479514851,0.6277164939558584,0.3204389460043733
8,gross_cagr,0.05651484044349897,0.0702570124144497,0.013742171970950734
8,net_cagr,0.03407775125017021,0.06278972136889949,0.02871197011872928
8,holding_duration_rebalances,7.383269230769231,4.888640179071069,-2.494629051698162
8,holding_duration_sessions,36.916346153846156,102.66144376049245,65.74509760664628
8,names_changed_per_rebalance,12.935323383084578,18.810526315789474,5.875202932704896
8,long_leg_retention,0.8725969387076754,0.833808268523827,-0.03878867018384846
8,short_leg_retention,0.8632646905209773,0.7885550288765388,-0.07470966164443849
8,names_replaced_both_legs_fraction,0.13206918538567378,0.1888183512998169,0.05674916591414311
8,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
8,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
8,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
8,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
8,signal_age_median_sessions,5.0,7.0,2.0
8,signal_age_p95_sessions,5.0,9.0,4.0
8,signal_age_max_sessions,1935.0,644.0,-1291.0
8,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
8,net_sharpe_1bp,0.41956584623077503,0.6317780180644131,0.2122121718336381
8,cost_share_of_gross_1bp,0.1441174882107228,0.03820334424810075,-0.10591414396262204
8,net_sharpe_3bp,0.39810459268469334,0.6234942128788088,0.22538962019411546
8,cost_share_of_gross_3bp,0.1878689385068347,0.050780011552115194,-0.1370889269547195
8,net_sharpe_5bp,0.37664383321083533,0.6152107793042756,0.23856694609344026
8,cost_share_of_gross_5bp,0.2316203888029466,0.06335667885612965,-0.16826370994681694
8,cost_share_of_gross_10bp,0.3409990145432264,0.09479834711616576,-0.24620066742706065
8,net_sharpe_20bp,0.21572077760970124,0.553097796527848,0.33737701891814675
8,cost_share_of_gross_20bp,0.5597562660237859,0.15768168363623797,-0.40207458238754795
9,rebalances,403.0,96.0,-307.0
9,scheduled_rebalances,403.0,96.0,-307.0
9,gross_sharpe,0.4836768925614232,0.4704964495454175,-0.013180443016005683
9,net_sharpe_10bp,0.3135668857306286,0.40669768593557387,0.0931308002049453
9,annualised_turnover,6.856411201701524,2.325204081632653,-4.5312071200688715
9,cost_share_of_gross,0.3513926186339709,0.13534335079663437,-0.21604926783733655
9,net_max_drawdown,-0.1854917978507855,-0.15027046351929396,0.03522133433149155
9,gross_max_drawdown,-0.16815597235515978,-0.14664355266193374,0.021512419693226037
9,gross_total_return,0.4885439104319121,0.4153347375994822,-0.07320917283242989
9,net_total_return,0.29055300804756845,0.36615191240883016,0.07559890436126171
9,gross_cagr,0.05481092597455106,0.04708266430156205,-0.007728261672989012
9,net_cagr,0.03241392330299586,0.03977021911113199,0.007356295808136126
9,holding_duration_rebalances,7.483091787439614,4.87871982032566,-2.604371967113954
9,holding_duration_sessions,37.41545893719807,102.45311622683886,65.03765728964079
9,names_changed_per_rebalance,12.873134328358208,18.74736842105263,5.874234092694422
9,long_leg_retention,0.8727005025212606,0.8305986373029177,-0.042101865218342915
9,short_leg_retention,0.8644099844594482,0.7929795684864336,-0.07143041597301458
9,names_replaced_both_legs_fraction,0.13144475650964577,0.1882108971053244,0.05676614059567864
9,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
9,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
9,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
9,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
9,signal_age_median_sessions,5.0,7.0,2.0
9,signal_age_p95_sessions,5.0,9.0,4.0
9,signal_age_max_sessions,1935.0,644.0,-1291.0
9,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
9,net_sharpe_1bp,0.4112783959862574,0.4446877615087537,0.03340936552249635
9,cost_share_of_gross_1bp,0.1493977828953953,0.05472659581718777,-0.09467118707820751
9,net_sharpe_3bp,0.3895641408267562,0.4362447678547184,0.04668062702796216
9,cost_share_of_gross_3bp,0.19428552417063433,0.07264143025706479,-0.12164409391356953
9,net_sharpe_5bp,0.36785007814009524,0.4278021971642932,0.05995211902419795
9,cost_share_of_gross_5bp,0.2391732654458734,0.09055626469694184,-0.14861700074893155
9,cost_share_of_gross_10bp,0.3513926186339709,0.13534335079663437,-0.21604926783733655
9,net_sharpe_20bp,0.205017997927226,0.3644973987278809,0.1594794008006549
9,cost_share_of_gross_20bp,0.5758313250101663,0.2249175229960195,-0.3509138020141468
