comparison,seed,metric,base,rich,difference
model_value_baseline,1,b1_net_max_drawdown,-0.31613642973254186,-0.10955336950237438,0.20658306023016748
model_value_baseline,1,b1_cost_share_of_gross,0.5726763204073363,0.0593075434491787,-0.5133687769581576
model_value_baseline,1,positive_fold_count,6.0,6.0,0.0
model_value_baseline,2,mean_rank_ic,0.005329437332440931,0.033624904463559716,0.028295467131118784
model_value_baseline,2,b1_net_sharpe_10bp,0.034861585882667405,0.8473230154377758,0.8124614295551084
model_value_baseline,2,b1_gross_sharpe,0.08159770854406845,0.9063816734435214,0.8247839648994529
model_value_baseline,2,b1_annualised_turnover,2.216326530612245,2.2864795918367347,0.07015306122448983
model_value_baseline,2,b1_net_max_drawdown,-0.31613642973254186,-0.09998438210135818,0.21615204763118367
model_value_baseline,2,b1_cost_share_of_gross,0.5726763204073363,0.06485281703455596,-0.5078235033727804
model_value_baseline,2,positive_fold_count,6.0,6.0,0.0
model_value_baseline,3,mean_rank_ic,0.005329437332440931,0.03199038204091364,0.026660944708472707
model_value_baseline,3,b1_net_sharpe_10bp,0.034861585882667405,0.7066588811350387,0.6717972952523713
model_value_baseline,3,b1_gross_sharpe,0.08159770854406845,0.7719487556617699,0.6903510471177015
model_value_baseline,3,b1_annualised_turnover,2.216326530612245,2.3642346938775507,0.14790816326530587
model_value_baseline,3,b1_net_max_drawdown,-0.31613642973254186,-0.11354065851198647,0.2025957712205554
model_value_baseline,3,b1_cost_share_of_gross,0.5726763204073363,0.0842990567576573,-0.488377263649679
model_value_baseline,3,positive_fold_count,6.0,6.0,0.0
model_value_baseline,4,mean_rank_ic,0.005329437332440931,0.03196558936101564,0.026636152028574705
model_value_baseline,4,b1_net_sharpe_10bp,0.034861585882667405,0.6105724274314556,0.5757108415487882
model_value_baseline,4,b1_gross_sharpe,0.08159770854406845,0.6549019115636916,0.5733042030196231
model_value_baseline,4,b1_annualised_turnover,2.216326530612245,2.341479591836735,0.12515306122449
model_value_baseline,4,b1_net_max_drawdown,-0.31613642973254186,-0.1313444838329958,0.18479194589954606
model_value_baseline,4,b1_cost_share_of_gross,0.5726763204073363,0.0675311635140964,-0.5051451568932399
model_value_baseline,4,positive_fold_count,6.0,7.0,1.0
model_value_baseline,5,mean_rank_ic,0.005329437332440931,0.031098949836586835,0.025769512504145903
model_value_baseline,5,b1_net_sharpe_10bp,0.034861585882667405,0.4122661392048225,0.3774045533221551
model_value_baseline,5,b1_gross_sharpe,0.08159770854406845,0.47773526434892255,0.3961375558048541
model_value_baseline,5,b1_annualised_turnover,2.216326530612245,2.3077040816326533,0.09137755102040845
model_value_baseline,5,b1_net_max_drawdown,-0.31613642973254186,-0.12508369968447686,0.191052730048065
model_value_baseline,5,b1_cost_share_of_gross,0.5726763204073363,0.1367471243584713,-0.435929196048865
model_value_baseline,5,positive_fold_count,6.0,6.0,0.0
model_value_baseline,6,mean_rank_ic,0.005329437332440931,0.0348231745454743,0.02949373721303337
model_value_baseline,6,b1_net_sharpe_10bp,0.034861585882667405,0.6438855980610434,0.609024012178376
model_value_baseline,6,b1_gross_sharpe,0.08159770854406845,0.7082793306002354,0.626681622056167
model_value_baseline,6,b1_annualised_turnover,2.216326530612245,2.3127040816326527,0.0963775510204079
model_value_baseline,6,b1_net_max_drawdown,-0.31613642973254186,-0.12431920734232427,0.1918172223902176
model_value_baseline,6,b1_cost_share_of_gross,0.5726763204073363,0.09045540408636663,-0.48222091632096964
model_value_baseline,6,positive_fold_count,6.0,6.0,0.0
model_value_baseline,7,mean_rank_ic,0.005329437332440931,0.031027854755376963,0.02569841742293603
model_value_baseline,7,b1_net_sharpe_10bp,0.034861585882667405,0.7122694629203267,0.6774078770376593
model_value_baseline,7,b1_gross_sharpe,0.08159770854406845,0.7721399838226586,0.6905422752785901
model_value_baseline,7,b1_annualised_turnover,2.216326530612245,2.3428316326530614,0.12650510204081655
model_value_baseline,7,b1_net_max_drawdown,-0.31613642973254186,-0.08681404187171571,0.22932238786082615
model_value_baseline,7,b1_cost_share_of_gross,0.5726763204073363,0.07724002329268478,-0.49543629711465154
model_value_baseline,7,positive_fold_count,6.0,6.0,0.0
model_value_baseline,8,mean_rank_ic,0.005329437332440931,0.032003833127675615,0.026674395795234684
model_value_baseline,8,b1_net_sharpe_10bp,0.034861585882667405,0.5945038812636393,0.5596422953809719
model_value_baseline,8,b1_gross_sharpe,0.08159770854406845,0.6569400711112902,0.5753423625672217
model_value_baseline,8,b1_annualised_turnover,2.216326530612245,2.3326020408163264,0.11627551020408156
model_value_baseline,8,b1_net_max_drawdown,-0.31613642973254186,-0.13663593655684458,0.17950049317569727
